 ,,Composition (at%),,,,,,,,,,,,,,Processing,,20 C=RT,,,,,,,,,,Phases,,,,,,,,,,,Properties,,,,,,,,,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Al05_ST_50h,18.2,27.3,27.3,0,18.2,9,0,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,50h,1,,B2 (needle‐shaped) → Code 3,,,,,,,,,,,,,ST condition: initial hardness increase ~30 HV; peak–aged at 240 h,,,,,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Al05_ST_240h,18.2,27.3,27.3,0,18.2,9,0,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,240h,1,,B2 (needle‐shaped) → Code 3,1459,,,,,,,,,,,,ST condition: initial hardness increase ~30 HV; peak–aged at 240 h,,,,,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Al05_ST_550h,18.2,27.3,27.3,0,18.2,9,0,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,550h,1,,B2 (needle‐shaped) → Code 3,,,,,,,,,,,,,ST condition: initial hardness increase ~30 HV; peak–aged at 240 h,,,,,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Al05_ST-PS_50h,18.2,27.3,27.3,0,18.2,9,0,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,50h,1,,B2 (needle‐shaped) → Code 3,,,,,,,,,,,,,ST–PS condition: hardness increased by ~54% relative to ST; initial stage increase ~75 HV; peak-aged at 50 h,,,,,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Al05_ST-PS_240h,18.2,27.3,27.3,0,18.2,9,0,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,240h,1,,B2 (needle‐shaped) → Code 3,1562,,,,,,,,,,,,ST–PS condition: hardness increased by ~54% relative to ST; initial stage increase ~75 HV; peak-aged at 50 h,,,,,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Al05_ST-PS_550h,18.2,27.3,27.3,0,18.2,9,0,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,550h,1,,B2 (needle‐shaped) → Code 3,,,,,,,,,,,,,ST–PS condition: hardness increased by ~54% relative to ST; initial stage increase ~75 HV; peak-aged at 50 h,,,,,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Al02Ti03_ST_50h,18.2,27.3,27.3,0,18.2,3.5,5.5,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,50h,1,"Predominantly single–phase FCC (>90% by volume, not explicitly stated)",g′ precipitates with L12 structure [Code 1],,,γ phase – equilibrium η phase [Code 4],,0.5±0.2%,,,,,,,,ST condition: initial hardness increment of ~110 HV; peak–aged at 240 h,,,750 °C (aging treatment),,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Al02Ti03_ST_240h,18.2,27.3,27.3,0,18.2,3.5,5.5,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,240h,1,"Predominantly single–phase FCC (>90% by volume, not explicitly stated)",g′ precipitates with L12 structure [Code 1],58.6,,γ phase – equilibrium η phase [Code 4],,3±0.9%,,,,,,,,ST condition: initial hardness increment of ~110 HV; peak–aged at 240 h,,,750 °C (aging treatment),,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Al02Ti03_ST_550h,18.2,27.3,27.3,0,18.2,3.5,5.5,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,550h,1,"Predominantly single–phase FCC (>90% by volume, not explicitly stated)",g′ precipitates with L12 structure [Code 1],,,γ phase – equilibrium η phase [Code 4],,5.8±1.1%,,,,,,,,ST condition: initial hardness increment of ~110 HV; peak–aged at 240 h,,,750 °C (aging treatment),,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Al02Ti03_ST-PS_50h,18.2,27.3,27.3,0,18.2,3.5,5.5,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,50h,1,"Predominantly single–phase FCC (>90% by volume, not explicitly stated)",g′ precipitates with L12 structure [Code 1],,,γ phase – equilibrium η phase [Code 4],,1.5±0.5%,,,,,,,,ST–PS condition: hardness increased by ~34% relative to ST; initial stage increase ~140 HV; peak–aged at 50 h,,,"750 °C (aging treatment, not test temperature)",,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Al02Ti03_ST-PS_240h,18.2,27.3,27.3,0,18.2,3.5,5.5,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,240h,1,"Predominantly single–phase FCC (>90% by volume, not explicitly stated)",g′ precipitates with L12 structure [Code 1],65,,γ phase – equilibrium η phase [Code 4],,3.2±0.6%,,,,,,,,ST–PS condition: hardness increased by ~34% relative to ST; initial stage increase ~140 HV; peak–aged at 50 h,,,"750 °C (aging treatment, not test temperature)",,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Al02Ti03_ST-PS_550h,18.2,27.3,27.3,0,18.2,3.5,5.5,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,550h,1,"Predominantly single–phase FCC (>90% by volume, not explicitly stated)",g′ precipitates with L12 structure [Code 1],,,γ phase – equilibrium η phase [Code 4],,4.8±0.8%,,,,,,,,ST–PS condition: hardness increased by ~34% relative to ST; initial stage increase ~140 HV; peak–aged at 50 h,,,"750 °C (aging treatment, not test temperature)",,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Ti05_ST_50h,18.2,27.3,27.3,0,18.2,0,9,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,50h,1,,gʹ of L12,,,4 (η),,8±0.9%,,,,,,,,ST condition: micro–hardness trend indicates an initial increase of ~117 HV with peak–aged condition at 240 h,,,,,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Ti05_ST_240h,18.2,27.3,27.3,0,18.2,0,9,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,240h,1,,gʹ of L12,50.3,,4 (η),,14±0.9%,,,,,,,,ST condition: micro–hardness trend indicates an initial increase of ~117 HV with peak–aged condition at 240 h,,,,,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Ti05_ST_550h,18.2,27.3,27.3,0,18.2,0,9,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,550h,1,,gʹ of L12,,,4 (η),,42±0.6%,,,,,,,,ST condition: micro–hardness trend indicates an initial increase of ~117 HV with peak–aged condition at 240 h,,,,,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Ti05_ST-PS_50h,18.2,27.3,27.3,0,18.2,0,9,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,50h,1,,gʹ of L12,,,4 (η),,21±1.4%,,,,,,,,ST–PS condition: hardness increased by ~21% relative to ST; initial stage increase ~125 HV; peak–aged at 50 h,,,,,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Ti05_ST-PS_240h,18.2,27.3,27.3,0,18.2,0,9,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,240h,1,,gʹ of L12,59.9,,4 (η),,59±1.9%,,,,,,,,ST–PS condition: hardness increased by ~21% relative to ST; initial stage increase ~125 HV; peak–aged at 50 h,,,,,,,,,,,
Influence of pre-deformation on the precipitation characteristics of aged non-equiatomic Co1.5CrFeNi1.5 high entropy alloys with Ti and Al additions,Ti05_ST-PS_550h,18.2,27.3,27.3,0,18.2,0,9,0,0,0,0,0,0,0,Yes,1150,6 hr,0,,,0,,,1,750,550h,1,,gʹ of L12,,,4 (η),,92±1.8%,,,,,,,,ST–PS condition: hardness increased by ~21% relative to ST; initial stage increase ~125 HV; peak–aged at 50 h,,,,,,,,,,,
Lattice distortion and atomic ordering of the sigma precipitates in CoCrFeNiMo high-entropy alloy,as‐cast CoCrFeNiMo high‐entropy alloy,19.8,19.5,19.1,0,19.9,0,0,0,0,0,0,0,21.7,0,0,,,0,,,0,,,0,,,Face‐centered cubic (FCC) → Code 1,63.87,Intermetallic σ phase (s‐phase) → Code 6,,36.13,,,,,,,,,,,,,,,,,,,,,,
Microstructure and tensile property of a precipitation strengthened high entropy alloy processed by selective laser melting and post heat treatment,DA–SLM,18.18,27.27,27.27,0,18.18,3.64,5.45,0,0,0,0,0,0,0,0,,,0,,,0,,,1,750 °C,50 h,1,62.3,1,25,32.7,5,200,3,4,50,2,1550,,1235,,,10.69,,500,1042,13.47,,,,,,
Microstructure and tensile property of a precipitation strengthened high entropy alloy processed by selective laser melting and post heat treatment,C&W+HT,18.18,27.27,27.27,0,18.18,3.64,5.45,0,0,0,0,0,0,0,1 (yes),1150 °C,6 h,1 (yes – hot forging step reducing thickness by 50%),1100 °C,50 %,1 (yes – an annealing treatment applied to achieve a uniform grain structure),1050 °C,30 min,1,750 °C,50 h,Face‐centered cubic (FCC) → (classification = 1),66.1,L12 phase (classification = 1),25.6,33.9,,,,,,,1310,,951,,,21.25,,500,1068,16.5,,,,,,
Nanophase precipitation and strengthening in a dual-phase Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi - As-Cast,22.2,22.2,22.2,0,22.2,11.1,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,fcc (code 1),nearly 100% in dendritic regions; additional chemically distinct regions exist at boundaries,,,,,,,,,,619.2,,475.3,,,47.3,,,,,,,,,,
Nanophase precipitation and strengthening in a dual-phase Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi - CRSA-4,22.2,22.2,22.2,0,22.2,11.1,0,0,0,0,0,0,0,0,0,,,1,20,70,1,1200,60,1,650,4 hours,fcc (code 1),96,L12 (code 1),7,4,,,,,,,,,,,,,,,,,,,,,,
Nanophase precipitation and strengthening in a dual-phase Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi_CRSA-8,22.2,22.2,22.2,,22.2,11.1,0,0,0,0,0,0,0,0,0,,,1,20 °C,70%,1,1200 °C,60 min,1,650 °C,8 h,Face‐centered cubic (fcc),Dominant phase,B2/bcc precipitate,,,,,,,,,,,,,,,,,,,,,,,,
Nanophase precipitation and strengthening in a dual-phase Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi_CRSA-20,22.2,22.2,22.2,,22.2,11.1,0,0,0,0,0,0,0,0,0,,,1,20 °C,70%,1,1200 °C,60 min,1,650 °C,20 h,Face‐centered cubic (fcc),,,,,,,,,,,,,,,,,,,,,,,,,,
Nanophase precipitation and strengthening in a dual-phase Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi - CRSA-80,22.2,22.2,22.2,0,22.2,11.1,0,0,0,0,0,0,0,0,0,,,1,20,70,1,1200,60,1,650,80 hours,fcc (code 1),81,L12 (code 1),"Larger than ~7 nm, evolving into lamellar morphology",19,B2 (code 3),,,bcc (code 7),,,1221.5,,1000.1,,,21.3,,,,,,,,,,
Nanophase precipitation and strengthening in a dual-phase Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi - CRSA-140,22.2,22.2,22.2,0,22.2,11.1,0,0,0,0,0,0,0,0,0,,,1,20,70,1,1200,60,1,650,140 hours,fcc (code 1),80,L12 (code 1),Approximately 57 nm in length and 13 nm in width (lamellar morphology),20,B2 (code 3),,,bcc (code 7),,,,,,,,,,,,,,,,,,
Nanophase precipitation and strengthening in a dual-phase Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi - CRSA-200,22.2,22.2,22.2,0,22.2,11.1,0,0,0,0,0,0,0,0,0,,,1,20,70,1,1200,60,1,650,200 hours,fcc (code 1),,L12 (code 1),,,B2 (code 3),,,bcc (code 7),,,,,,,,,,,,,,,,,,
Optimizing the coupled effects of Hall-Petch and precipitation strengthening in a Al0.3CoCrFeNi high entropy alloy,Al0.3CoCrFeNi high‐entropy alloy - CRSA (1150 °C/60 min),23,23,23,0,23,7,0,0,0,0,0,0,0,0,As cast and homogenized,,,1,20,90,Solution treatment at 1150 °C for 60 min,1150,60,0,,,Face-centered cubic (FCC) → code 1,100,,,,,,,,,,410,,159,,,65,,,,,,,,,,
Optimizing the coupled effects of Hall-Petch and precipitation strengthening in a Al0.3CoCrFeNi high entropy alloy,Al0.3CoCrFeNi high‐entropy alloy - CRSA (1150 °C/5 min),23,23,23,0,23,7,0,0,0,0,0,0,0,0,As cast and homogenized,,,1,20,90,Solution treatment at 1150 °C for 5 min,1150,5,0,,,Face-centered cubic (FCC) → code 1,100,,,,,,,,,,550,,220,,,60,,,,,,,,,,
Optimizing the coupled effects of Hall-Petch and precipitation strengthening in a Al0.3CoCrFeNi high entropy alloy,Al0.3CoCrFeNi high‐entropy alloy - CRSA (1150 °C/60 min) + 700 °C/50 h,23,23,23,0,23,7,0,0,0,0,0,0,0,0,As cast and homogenized,,,1,20,90,1,1150,60min,1,700,50,Face-centered cubic (FCC) → code 1,,L12,lath-like,,B2,,,,,,520,,215,,,43,,,,,,,,,,
Optimizing the coupled effects of Hall-Petch and precipitation strengthening in a Al0.3CoCrFeNi high entropy alloy,Al0.3CoCrFeNi high‐entropy alloy - CRSA (1150 °C/60 min) + 550 °C/150 h,23,23,23,0,23,7,0,0,0,0,0,0,0,0,As cast and homogenized,,,1,20,90,1,1150,60min,1,550,150,Face-centered cubic (FCC) → code 1,,L12,fine scale,,B2,,,,,,540,,285,,,55,,,,,,,,,,
Optimizing the coupled effects of Hall-Petch and precipitation strengthening in a Al0.3CoCrFeNi high entropy alloy,Al0.3CoCrFeNi high‐entropy alloy - CRSA (1150 °C/2 min),23,23,23,0,23,7,0,0,0,0,0,0,0,0,As cast and homogenized,,,1,20,90,Solution treatment at 1150 °C for 2 min,1150,2min,0,,,Face-centered cubic (FCC) → code 1,100,,,,,,,,,,589,,263,,,60,,,,,,,,,,
Optimizing the coupled effects of Hall-Petch and precipitation strengthening in a Al0.3CoCrFeNi high entropy alloy,Al0.3CoCrFeNi high‐entropy alloy - CRSA (1150 °C/2 min) + 620 °C/50 h,23,23,23,0,23,7,0,0,0,0,0,0,0,0,As cast and homogenized,,,1,20,90,1,1150,2min,1,620,50,Face-centered cubic (FCC) → code 1,,g' precipitate,fine scale,,B2,grain boundary/ lath-like,,,,,840,,490,,,45,,,,,,,,,,
"Phase evolution, microstructure, mechanical behaviors of the CrFeNiAlxTiy medium-entropy alloys",M,33.3,33.3,0,0,33.3,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,1,100,,,,,,,,,,,,,160 ± 5,187 ± 4,,,,,,,,,,,
"Phase evolution, microstructure, mechanical behaviors of the CrFeNiAlxTiy medium-entropy alloys",MAl2,31.3,31.3,0,0,31.3,6.3,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,1,85.93,3,,14.07,,,,,,,,,,280 ± 7,216 ± 9,,,,,,,,,,,
"Phase evolution, microstructure, mechanical behaviors of the CrFeNiAlxTiy medium-entropy alloys",MAl4,29.4,29.4,0,0,29.4,11.8,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face‐centered cubic (FCC) → Classification Code = 1,65.6,Body‐centered cubic (BCC) → Classification Code = 7,"Less than 1 μm (i.e. sub‐micron scale, roughly <1000 nm)",34.4,,,,,,,,3219 ± 7,,1350 ± 9,542 ± 10,,37 ± 0.5,,,,,,,,,
"Phase evolution, microstructure, mechanical behaviors of the CrFeNiAlxTiy medium-entropy alloys",MAl3Ti3,27.8,27.8,0,0,27.8,8.3,8.3,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,"Body-Centered Cubic (BCC, Classification Code: 2; enriched in Fe and Cr)",,"Face-Centered Cubic (FCC, Classification Code: 8; enriched in Fe, Cr and Ni)",,45.7,"Ordered B2 phase (Classification Code: 4; enriched in Al, Ni and Ti)",,,,,,,3700 ± 9,,1712 ± 8,551 ± 7,,39.8 ± 0.6,,,,,,,,,
"Phase evolution, microstructure, mechanical behaviors of the CrFeNiAlxTiy medium-entropy alloys",MAl4Ti2,27.8,27.8,0,0,27.8,11.1,5.6,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Body‐Centered Cubic (BCC),,Ordered B2 phase,Ranges from the nano‐scale up to nearly 1 µm; average ~549 nm (see Table 7 parameters),0.28,,,,,,,,3819 ± 6,,1600 ± 6,580 ± 8,,45 ± 0.9,,,,,,,,,
Precipitation and its strengthening of Cu-rich phase in CrMnFeCoNiCux high-entropy alloys,Cu0,17.75,21.86,18.89,21.96,19.55,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,1 (face‐centered cubic),100,,,,,,,,,,,,,188.04,165.35,,,,,,,,,,,
Precipitation and its strengthening of Cu-rich phase in CrMnFeCoNiCux high-entropy alloys,Cu0.25,19.05,19.05,19.05,19.05,19.05,0,0,4.76,0,0,0,0,0,0,0,,,0,,,0,,,0,,,"fcc1 (dendrite region, Face‐centered cubic → Code 1)",96.2,"Nano‐sized Cu–rich precipitate (arising from the (Cu, Mn)–rich inter‐dendritic region, FCC → Code 8)",50,3.76,,,,,,,,,,,,,,,,,,,,,,
Precipitation and its strengthening of Cu-rich phase in CrMnFeCoNiCux high-entropy alloys,Cu0.5,18.18,18.18,18.18,18.18,18.18,0,0,9.09,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face‑centered cubic (fcc) (code 1),92.25,Cu‑rich precipitate with fcc crystal structure (code 8),50,7.75,,,,,,,,,,,,,,,,,,,,,,
Precipitation and its strengthening of Cu-rich phase in CrMnFeCoNiCux high-entropy alloys,Cu0.75,17.39,17.39,17.39,17.39,17.39,0,0,13.04,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face‐centered cubic (fcc) → Classification 1,82.33,Cu‐rich precipitate with fcc structure → Classification 8,50,17.67,,,,,,,,,,,,,,,,,,,,,,
Precipitation and its strengthening of Cu-rich phase in CrMnFeCoNiCux high-entropy alloys,Cu1,16.67,16.67,16.67,16.67,16.67,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,"Cu‐depleted dendritic region (fcc1, Face‐Centered Cubic, classification 1)",76,"Nano‐sized Cu‐rich precipitate from (Cu, Mn)‐rich inter‐dendritic region (FCC, classification 8)",50,23.95,,,,,,,,,,350.63,215.84,,,,,,,,,,,
Precipitation behavior and its effects on tensile properties of FeCoNiCr high-entropy alloys,TA14,23.75,23.75,23.75,0,23.75,4,1,0,0,0,0,0,0,0,1,1200,4,1,20,30,1,1000,2h,1,800,18h,Face‐centered cubic (FCC),83.2,"L12 (Ni3(Ti,Al))",12.1 ± 1.0 nm,14.9 ± 1.2% (relative to matrix),"L21 (Ni,Co)2TiAl Heusler",188.2 ± 5.5 nm,1.9 ± 1.0% (relative to whole volume),,,,,,,,,,,,,,,,,,,
Precipitation behavior and its effects on tensile properties of FeCoNiCr high-entropy alloys,TA24,23.5,23.5,23.5,0,23.5,4,2,0,0,0,0,0,0,0,1,1200,4,1,20,30,1,1000,2h,1,800,18h,Face‐centered cubic (FCC),74.4,"L12 (Ni3(Ti,Al))",13.4 ± 0.7 nm,22.0 ± 0.8% (relative to matrix),"L21 (Ni,Co)2TiAl Heusler",173.0 ± 10.2 nm,3.6 ± 1.2% (relative to whole volume),,,,983,,,,,Approximately 40% or higher (this is gpt correct number.  34% is also right from figure),,,,,,,,,,
Precipitation behavior and its effects on tensile properties of FeCoNiCr high-entropy alloys,TA36,22.75,22.75,22.75,0,22.75,6,3,0,0,0,0,0,0,0,1,1200,4,1,20,30,1,1000,2h,1,800,18h,Face‐centered cubic (FCC),57.1,"L12 (Ni3(Ti,Al))",11.6 ± 1.0,10.2 ± 2.0,"L21 (Ni,Co)2TiAl Heusler",230.8 ± 6.8,32.7 ± 0.7,,,,,,,,,≈8%,,,,,,,,,,
Precipitation behavior and its effects on tensile properties of FeCoNiCr high-entropy alloys,TA39,22,22,22,0,22,9,3,0,0,0,0,0,0,0,1,1200,4,1,20,30,1,1000,2h,1,800,18h,Face‐centered cubic (FCC),56.7,"L12 (coherent Ni3(Ti,Al))",10.5 ±1.4,4.5 ± 1.1,"L21 (Ni,Co)2TiAl Heusler",350.3 ± 9.0,38.8 ± 0.9,,,,,,,,,Less than 5% (reported for TA39 aged at 800 °C for 18 h); qualitatively very low,,,,,,,,,,
Precipitation strengthening of ductile Cr15Fe20Co35Ni20Mo10 alloys,Mo20 HEA,20,20,20,0,20,0,0,0,0,0,0,0,20,0,Yes,1200 °C,48 hr,0,,,0,,,0,,,Face-Centered Cubic (FCC),,σ phase [Classification Code: 6],,,,,,,,,,,,,,,,,,,,,,,,
Precipitation strengthening of ductile Cr15Fe20Co35Ni20Mo10 alloys,Mo15 HEA,20,20,27.5,0,17.5,0,0,0,0,0,0,0,15,0,Yes,1200 °C,48 hr,0,,,0,,,0,,,Face-Centered Cubic (FCC) [Classification Code: 1],,σ phase [Classification Code: 6],,,,,,,,,,,,,,"extremely brittle without apparent plasticity (i.e., essentially negligible)",,,,,,,,,,
Precipitation strengthening of ductile Cr15Fe20Co35Ni20Mo10 alloys,Mo10 HEA (Homogenized),20,20,35,0,15,0,0,0,0,0,0,0,10,0,Yes,1200 °C,48 hr,0,,,0,,,0,,,Face-centered cubic (FCC) [Classification: 1],,μ phase (identified by its hexagonal close-packed structure; classified here as 9),,,,,,,,,720,,350,,,21.9,,,,,,,,,,
Precipitation strengthening of ductile Cr15Fe20Co35Ni20Mo10 alloys,Mo10 HEA (Recrystallized - 800 °C/1 h/AC),20,20,35,0,15,0,0,0,0,0,0,0,10,0,Yes,1200 °C,48 hr,Yes,Hot Rolling at 1100 °C; Cold Rolling at 20 °C,70%,Yes,800 °C,1 h,0,,,Face-centered cubic (FCC) [Classification: 1],,μ phase (classified as 9),80–200 nm,,,,,,,,1410,,1311,,,12.1,,,,,,,,,,
Precipitation strengthening of ductile Cr15Fe20Co35Ni20Mo10 alloys,Mo10 HEA (Recrystallized - 850 °C/5 min/WQ),20,20,35,0,15,0,0,0,0,0,0,0,10,0,Yes,1200 °C,48 hr,Yes,Hot Rolling at 1100 °C; Cold Rolling at 20 °C,70%,Yes,850 °C,5 min,0,,,Face-centered cubic (FCC) [Classification: 1],,μ phase (classified as 9),"80–200 nm(this is from text, 140 is right which shown in fig 3g)",,,,,,,,1360,,1212,,,14.9,,,,,,,,,,
Precipitation strengthening of ductile Cr15Fe20Co35Ni20Mo10 alloys,Mo10 HEA (Recrystallized - 900 °C/5 min/WQ),20,20,35,0,15,0,0,0,0,0,0,0,10,0,Yes,1200 °C,48 hr,Yes,Hot Rolling at 1100 °C; Cold Rolling at 20 °C,70%,Yes,900 °C,5 min,0,,,Face-centered cubic (FCC) [Classification: 1],,μ phase (classified as 9),80–200 nm,,,,,,,,1249,,1028,,,18.3,,,,,,,,,,
Precipitation strengthening of ductile Cr15Fe20Co35Ni20Mo10 alloys,Mo10 HEA (Recrystallized - 1000 °C/5 min/WQ),20,20,35,0,15,0,0,0,0,0,0,0,10,0,Yes,1200 °C,48 hr,Yes,Hot Rolling at 1100 °C; Cold Rolling at 20 °C,70%,Yes,1000 °C,5 min,0,,,Face-centered cubic (FCC) [Classification: 1],,μ phase (classified as 9),80–200 nm,,,,,,,,1194,,879,,,25.4,,,,,,,,,,
Precipitation strengthening of ductile Cr15Fe20Co35Ni20Mo10 alloys,Mo10 HEA (Recrystallized - 1000 °C/1 h/AC),20,20,35,0,15,0,0,0,0,0,0,0,10,0,Yes,1200 °C,48 hr,Yes,Hot Rolling at 1100 °C; Cold Rolling at 20 °C,70%,Yes,1000 °C,1 h,0,,,Face-centered cubic (FCC) [Classification: 1],,μ phase (classified as 9),80–200 nm,,,,,,,,1127,,799,,,28.2,,,,,,,,,,
Precipitation strengthening of ductile Cr15Fe20Co35Ni20Mo10 alloys,Mo10 HEA (Recrystallized - 1150 °C/1 h/AC),20,20,35,0,15,0,0,0,0,0,0,0,10,0,Yes,1200 °C,48 hr,Yes,Hot Rolling at 1100 °C; Cold Rolling at 20 °C,70%,Yes,1150 °C,1 h,0,,,Face‐Centered Cubic (FCC) [Classification: 1],100,,,,,,,,,,918,,350,,,62.4,,,,,,,,,,
Precipitation strengthening of ductile Cr15Fe20Co35Ni20Mo10 alloys,Mo5 Homogenized (x = 7.5),20,20,42.5,,12.5,,,,,,,,5,,1,1200,48,0,,,0,,,0,,,FCC (1),,,,,,,,,,,,,,,,55%,,,,,,,,,,
Precipitation strengthening of ductile Cr15Fe20Co35Ni20Mo10 alloys,Mo5 HEA (Recrystallized),20,20,42.5,0,12.5,0,0,0,0,0,0,0,5,0,Yes,1200 °C,48 hr,Yes,Hot Rolling at 1100 °C; Cold Rolling at 20 °C,70%,Yes,"800 C, 850 C, 900 C, and 1000 C",5 and 60 mins,0,,,Face‐Centered Cubic (FCC; classified as “1”),100,,,,,,,,,,700-1000,,300-800,,,45-75,,,,,,,,,,
"Realizing strength-ductility combination of coarse-grained Al0.2Co1.5CrFeNi1.5Ti0.3 alloy via nano-sized, coherent precipitates",HEA (Al0.2Co1.5CrFeNi1.5Ti0.3) [Aged at 800°C for 1h],18.2,27.3,27.3,0,0,18.2,3.6,5.5,0,0,0,0,0,0,1,1200,48 h,1,1100,≈85%,1,1150,180 min,1,800,1 h,Face-centered cubic (FCC; classification: 1),84.2,"L12 Ni3(Ti,Al)",6 nm,15.8,,,,,,,,,745,,,40,,,,,,,,,,
"Realizing strength-ductility combination of coarse-grained Al0.2Co1.5CrFeNi1.5Ti0.3 alloy via nano-sized, coherent precipitates",HEA (Al0.2Co1.5CrFeNi1.5Ti0.3) [Aged at 800°C for 5h],18.2,27.3,27.3,0,0,18.2,3.6,5.5,0,0,0,0,0,0,1,1200,48 h,1,1100,≈85%,1,1150,180 min,1,800,5 h,Face-centered cubic (FCC; classification: 1),81.5,"L12 Ni3(Ti,Al)",12 nm,18.5,,,,,,,1160,,760,,,33,,,,,,,,,,
"Realizing strength-ductility combination of coarse-grained Al0.2Co1.5CrFeNi1.5Ti0.3 alloy via nano-sized, coherent precipitates",HEA (Al0.2Co1.5CrFeNi1.5Ti0.3) [Aged at 800°C for 25h],18.2,27.3,27.3,0,0,18.2,3.6,5.5,0,0,0,0,0,0,1,1200,48 h,1,1100,≈85%,1,1150,180 min,1,800,25 h,Face-centered cubic (FCC; classification: 1),71.8,"L12 Ni3(Ti,Al)",,28.2,,,,,,,,,,,,,,,,,,,,,,
